
Fixed structural parameters:
  gamma_k    = 0.112026
  gamma_l    = 0.855904
  rho        = 0.815676
  sigma_eps  = 0.038788
  sigma      = 3.144978
  exit_rate  = 0.074896

Calibration targets (base period):
  med_sga/rev  = 0.1834
  med_capx/rev = 0.0451
  pct_neg      = 10.8529%

Loaded pct_neg by year: 40 years (1980-2019)

Loaded initial guesses from /gpfs/projects/p32386/Demand_Shifting/calibrated_investment_params.csv:
  alpha_a_init = 0.458870
  alpha_k_init = 0.732125
  phi_0_init   = 0.100000

Initializing warm start ...

============================================================
Phase 1: Differential Evolution (global search)
  Targets: adv/rev=0.1834  capx/rev=0.0451  pct_neg@1980=10.85%
============================================================
aa=0.2496 ak=0.3589 phi0=0.1382 | adv=0.0691 inv=0.0195 pct=7.49% | ||res||=0.843436
aa=0.5885 ak=0.6636 phi0=-0.0671 | adv=0.1385 inv=0.0383 pct=18.31% | ||res||=0.297300
aa=0.6264 ak=0.7380 phi0=-0.0487 | adv=0.1540 inv=0.0447 pct=20.90% | ||res||=0.189229
aa=0.7861 ak=0.4849 phi0=-0.3628 | adv=0.1131 inv=0.0249 pct=14.42% | ||res||=0.589733
aa=0.7687 ak=0.2235 phi0=-0.4311 | adv=0.0953 inv=0.0112 pct=14.33% | ||res||=0.893459
aa=0.6526 ak=0.5221 phi0=0.3277 | adv=0.3119 inv=0.0352 pct=40.12% | ||res||=0.789890
aa=0.8435 ak=0.5454 phi0=-0.3996 | adv=0.1119 inv=0.0280 pct=14.42% | ||res||=0.544737
aa=0.7460 ak=0.6461 phi0=0.1119 | adv=0.2656 inv=0.0436 pct=33.95% | ||res||=0.505247
aa=0.7319 ak=0.7808 phi0=0.2089 | adv=0.3288 inv=0.0678 pct=42.01% | ||res||=0.990200
aa=0.4636 ak=0.5425 phi0=-0.0311 | adv=0.1106 inv=0.0304 pct=13.49% | ||res||=0.514134
aa=0.7507 ak=0.6083 phi0=-0.4268 | adv=0.0946 inv=0.0312 pct=10.61% | ||res||=0.574041
aa=0.5445 ak=0.7640 phi0=-0.3942 | adv=0.0730 inv=0.0394 pct=7.49% | ||res||=0.615761
aa=0.3592 ak=0.8586 phi0=-0.4315 | adv=0.0454 inv=0.0382 pct=7.49% | ||res||=0.768288
aa=0.7330 ak=0.5262 phi0=0.1527 | adv=0.2724 inv=0.0332 pct=34.18% | ||res||=0.599479
aa=0.5650 ak=0.3456 phi0=-0.1968 | adv=0.1075 inv=0.0181 pct=14.13% | ||res||=0.727523
aa=0.8525 ak=0.7350 phi0=-0.2710 | adv=0.1477 inv=0.0407 pct=16.04% | ||res||=0.223384
aa=0.8555 ak=0.2129 phi0=0.1096 | adv=0.2992 inv=0.0119 pct=37.93% | ||res||=1.005956
aa=0.8683 ak=0.7885 phi0=-0.3696 | adv=0.1238 inv=0.0411 pct=13.94% | ||res||=0.338284
aa=0.8525 ak=0.7350 phi0=-0.2710 | adv=0.1477 inv=0.0407 pct=16.04% | ||res||=0.223384
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.194e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.374e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.374e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.374e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 1.374e-06
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 9.718e-07
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 9.718e-07
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 9.718e-07
Warning: VF EGM did not converge after 100 iterations
Final sup-norm diff = 9.718e-07
aa=0.8445 ak=0.8952 phi0=-0.2088 | adv=0.1697 inv=0.0457 pct=17.81% | ||res||=0.103010
aa=0.8033 ak=0.7382 phi0=-0.3897 | adv=0.1100 inv=0.0382 pct=13.62% | ||res||=0.429112
aa=0.1853 ak=0.6185 phi0=0.0845 | adv=0.0480 inv=0.0351 pct=7.49% | ||res||=0.771743
aa=0.5650 ak=0.6609 phi0=-0.3868 | adv=0.0767 inv=0.0339 pct=7.49% | ||res||=0.633102
aa=0.4739 ak=0.5907 phi0=-0.2494 | adv=0.0832 inv=0.0312 pct=8.23% | ||res||=0.626931
aa=0.7646 ak=0.7891 phi0=-0.3614 | adv=0.1112 inv=0.0417 pct=12.23% | ||res||=0.401163
aa=0.4636 ak=0.6454 phi0=0.2757 | adv=0.1684 inv=0.0413 pct=22.78% | ||res||=0.166716
aa=0.5101 ak=0.6076 phi0=0.3429 | adv=0.2069 inv=0.0404 pct=28.02% | ||res||=0.238310
aa=0.5655 ak=0.5564 phi0=0.1444 | adv=0.1799 inv=0.0339 pct=24.02% | ||res||=0.281499
aa=0.8525 ak=0.8558 phi0=-0.0606 | adv=0.2363 inv=0.0588 pct=30.95% | ||res||=0.465169
aa=0.4378 ak=0.7056 phi0=0.4452 | adv=0.1918 inv=0.0488 pct=26.19% | ||res||=0.180452
aa=0.4430 ak=0.7682 phi0=0.1802 | adv=0.1386 inv=0.0484 pct=17.27% | ||res||=0.263378
aa=0.7259 ak=0.7957 phi0=0.2168 | adv=0.3245 inv=0.0615 pct=41.32% | ||res||=0.904023
aa=0.7679 ak=0.4826 phi0=0.2237 | adv=0.3406 inv=0.0309 pct=42.30% | ||res||=0.965509
aa=0.8683 ak=0.8929 phi0=-0.1525 | adv=0.2022 inv=0.0570 pct=23.33% | ||res||=0.310241
